lagrange,newton,linear,spline
4.09727007e-004,4.09727007e-004,1.01785470e-001,3.86437170e-003
2.84475433e-010,2.84475435e-010,3.35875974e-002,2.93784541e-004
4.92879847e-016,5.50720494e-016,1.64292699e-002,6.12739940e-005
5.21328532e-013,1.96639796e-013,9.70113392e-003,1.98669606e-005
2.59057154e-010,7.30910859e-011,6.39349382e-003,8.24950558e-006
1.26143713e-008,1.50325244e-008,4.52795850e-003,4.01300721e-006
4.70637622e-005,6.74029194e-006,3.37378235e-003,2.17909541e-006
9.07326135e-003,8.86125924e-003,2.61050188e-003,1.28291787e-006
4.05645813e+001,1.80730051e+001,2.07967449e-003,8.03574182e-007
